slots,time
1,9.84648 s
2,5.62122 s
3,4.65005 s
4,3.79803 s
5,3.40096 s
6,3.21026 s
7,3.12680 s
8,2.96597 s
9,2.87374 s
10,2.78465 s
11,2.71613 s
12,2.66374 s
13,2.57228 s
14,2.52401 s
15,2.47356 s
16,2.43223 s
17,2.39691 s
18,2.37635 s
19,2.34208 s
20,2.31615 s
21,2.30885 s
22,2.29311 s
23,2.26726 s
24,2.24447 s
25,2.22427 s
26,2.21451 s
27,2.19897 s
28,2.19483 s
29,2.17561 s
30,2.17260 s
31,2.19230 s
32,2.16013 s
33,2.15443 s
34,2.19350 s
35,2.15657 s
36,2.12795 s
37,2.12151 s
38,2.11501 s
39,2.11073 s
40,2.10228 s
41,2.11401 s
42,2.10501 s
43,2.10258 s
44,2.09712 s
45,2.09471 s
46,2.09834 s
47,2.08333 s
48,2.07758 s
49,2.09678 s
50,2.09172 s
51,2.06798 s
52,2.07113 s
53,2.07340 s
54,2.09706 s
55,2.06014 s
56,2.08735 s
57,2.04739 s
58,2.07741 s
59,2.07447 s
60,2.07655 s
61,2.07425 s
62,2.09269 s
63,2.04112 s
64,2.07181 s
65,2.05004 s
66,2.04525 s
67,2.04653 s
68,2.03096 s
69,2.03222 s
70,2.03362 s
71,2.08845 s
72,2.04102 s
73,2.03462 s
74,2.04723 s
75,2.03258 s
76,2.03301 s
77,2.05040 s
78,2.06387 s
79,2.06508 s
80,2.05784 s
81,2.07462 s
82,1.99977 s
83,2.00475 s
84,2.01010 s
85,2.00844 s
86,2.00696 s
87,2.06167 s
88,2.02069 s
89,2.02078 s
90,2.03509 s
91,2.02543 s
92,2.01719 s
93,2.01812 s
94,2.01129 s
95,2.01515 s
96,1.98646 s
97,2.01295 s
98,1.98845 s
99,2.03016 s
100,1.99062 s
101,2.02228 s
102,1.99678 s
103,2.00154 s
104,2.04439 s
105,2.00607 s
106,2.00780 s
107,2.00453 s
108,1.98301 s
109,1.97301 s
110,2.01489 s
111,1.98652 s
112,1.99958 s
113,1.96809 s
114,2.02129 s
115,1.97381 s
116,1.97360 s
117,1.96883 s
118,1.96915 s
119,1.99014 s
120,1.96652 s
121,1.97046 s
122,1.99965 s
123,1.97530 s
124,1.99134 s
125,1.99776 s
126,2.02760 s
127,2.00541 s
128,1.99467 s
129,1.96268 s
130,1.97125 s
131,1.97157 s
132,1.97182 s
133,2.02696 s
