slots,times
1,20.15688 s
2,12.24750 s
3,9.97986 s
4,8.42178 s
5,8.13322 s
6,7.48187 s
7,7.22168 s
8,6.87641 s
9,6.67383 s
10,6.42389 s
11,6.22889 s
12,6.06929 s
13,5.94881 s
14,5.86786 s
15,5.72275 s
16,5.61739 s
17,5.55130 s
18,5.50474 s
19,5.52452 s
20,5.39696 s
21,5.39877 s
22,5.32420 s
23,5.26931 s
24,5.22330 s
25,5.17458 s
26,5.14900 s
27,5.13476 s
28,5.09690 s
29,5.08017 s
30,5.07680 s
31,5.04729 s
32,5.02534 s
33,4.99936 s
34,4.99045 s
35,4.97823 s
36,4.97229 s
37,4.94449 s
38,4.93145 s
39,4.92287 s
40,4.91204 s
41,4.95415 s
42,4.94153 s
43,4.91605 s
44,4.90993 s
45,4.91518 s
46,4.90040 s
47,4.89207 s
48,4.87504 s
49,4.85081 s
50,4.84549 s
51,4.85290 s
52,4.86439 s
53,4.82159 s
54,4.82663 s
55,4.83189 s
56,4.81101 s
57,4.80627 s
58,4.80567 s
59,4.80285 s
60,4.77153 s
61,4.79135 s
62,4.78029 s
63,4.75601 s
64,4.87371 s
65,4.76741 s
66,4.74657 s
67,4.74849 s
68,4.74904 s
69,4.74069 s
70,4.72332 s
71,4.72820 s
72,4.71766 s
73,4.74114 s
74,4.71662 s
75,4.71354 s
76,4.73756 s
77,4.79018 s
78,4.77321 s
79,4.73369 s
80,4.75067 s
81,4.74613 s
82,4.72676 s
83,4.74753 s
84,4.75023 s
85,4.94543 s
86,4.80136 s
87,4.80501 s
88,4.77726 s
89,4.73444 s
90,4.69813 s
91,4.70333 s
92,4.70741 s
93,4.69722 s
94,4.71550 s
95,4.77655 s
96,4.72429 s
97,4.75208 s
98,4.75131 s
99,4.82324 s
100,4.86692 s
101,4.79443 s
102,4.75961 s
103,4.85198 s
104,4.91093 s
105,4.79882 s
106,4.76057 s
107,4.85593 s
108,4.84771 s
109,4.93600 s
110,5.06882 s
111,4.85704 s
112,4.78596 s
113,4.78227 s
114,4.90494 s
115,4.81370 s
116,4.79374 s
117,4.78769 s
118,4.79518 s
119,4.79691 s
120,4.87488 s
121,4.87396 s
122,4.86973 s
123,4.79990 s
124,4.96983 s
125,4.82232 s
126,4.84464 s
127,4.82322 s
128,4.80948 s
